a, 4
b, 65
c, 84
d, 86
e, 7
f, 80
g, 68
h, 88
i, 2
j, 61
k, 63
l, 85
m, 82
n, 1
o, 3
p, 66
q, 621
r, 87
s, 0
t, 5
u, 83
v, 64
w, 81
x, 60
y, 67
z, 620
